country,year,score,property_right,government_integrity,judicial_effectiveness,tax_burden,government_spending,fiscal_health,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,africa,asia,europe,north_america,oceania,south_america
Costa Rica,2008,64.2,50.0,41.0,,82.9,87.4,,60.0,61.2,67.9,81.8,70.0,40.0,0,0,0,1,0,0
Cuba,2008,27.5,10.0,35.0,,54.8,0.0,,10.0,20.0,64.6,60.8,10.0,10.0,0,0,0,1,0,0
Dominican Republic,2008,57.7,30.0,28.0,,80.4,88.8,,62.6,54.9,69.3,73.0,50.0,40.0,0,0,0,1,0,0
Ecuador,2008,55.2,30.0,23.0,,86.4,82.3,,58.7,40.3,74.1,67.6,40.0,50.0,0,0,0,0,0,1
El Salvador,2008,68.5,50.0,40.0,,83.4,88.7,,59.5,69.9,76.8,76.6,70.0,70.0,0,0,0,1,0,0
Guatemala,2008,59.8,30.0,26.0,,79.9,95.9,,54.6,60.0,72.9,78.4,50.0,50.0,0,0,0,1,0,0
Guyana,2008,48.8,40.0,25.0,,67.3,16.0,,56.6,63.1,73.9,65.8,40.0,40.0,0,0,0,0,0,1
Haiti,2008,49.0,10.0,18.0,,77.8,93.2,,35.8,62.6,65.3,67.0,30.0,30.0,0,0,0,1,0,0
Honduras,2008,58.9,30.0,25.0,,84.5,82.6,,59.9,45.4,73.7,78.0,50.0,60.0,0,0,0,1,0,0
Jamaica,2008,65.7,50.0,37.0,,74.9,59.6,,82.3,68.4,74.3,70.4,80.0,60.0,0,0,0,1,0,0
Mexico,2008,66.2,50.0,33.0,,83.4,83.7,,82.9,61.9,77.7,79.0,50.0,60.0,0,0,0,1,0,0
Nicaragua,2008,60.8,25.0,26.0,,79.0,77.6,,56.8,73.7,70.6,79.2,70.0,50.0,0,0,0,1,0,0
Panama,2008,64.7,30.0,31.0,,83.0,89.1,,73.0,44.6,80.2,76.2,70.0,70.0,0,0,0,1,0,0
Paraguay,2008,60.0,35.0,26.0,,96.6,90.8,,58.5,28.0,76.6,78.4,50.0,60.0,0,0,0,0,0,1
Peru,2008,63.8,40.0,33.0,,80.2,91.8,,65.7,47.5,85.9,73.4,60.0,60.0,0,0,0,0,0,1
Suriname,2008,54.3,50.0,30.0,,68.0,72.8,,41.9,86.3,69.2,65.0,30.0,30.0,0,0,0,0,0,1
Bahamas,2008,71.1,80.0,70.0,,96.2,86.4,,80.0,80.0,76.3,32.0,40.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,2008,69.5,65.0,32.0,,81.0,81.7,,65.0,79.1,72.6,79.0,70.0,70.0,0,0,0,1,0,0
United States,2008,81.0,90.0,73.0,,68.3,59.8,,92.6,95.4,83.7,86.8,80.0,80.0,0,0,0,1,0,0
Uruguay,2008,67.9,70.0,64.0,,85.9,76.6,,60.8,74.4,74.2,83.0,60.0,30.0,0,0,0,0,0,1
Venezuela,2008,44.7,10.0,23.0,,74.5,79.7,,51.6,33.0,60.6,54.6,20.0,40.0,0,0,0,0,0,1
Argentina,2007,54.0,30.0,28.0,,70.7,81.5,,63.9,42.9,71.4,61.4,50.0,40.0,0,0,0,0,0,1
Barbados,2007,70.0,90.0,69.0,,67.4,59.8,,90.0,80.0,76.6,57.0,50.0,60.0,0,0,0,1,0,0
Belize,2007,63.3,50.0,37.0,,69.7,74.9,,77.4,83.2,73.2,67.2,50.0,50.0,0,0,0,1,0,0
Bolivia,2007,54.2,30.0,25.0,,88.9,69.3,,59.9,28.6,70.9,79.2,30.0,60.0,0,0,0,0,0,1
Brazil,2007,56.2,50.0,37.0,,68.6,55.5,,54.2,64.1,72.6,69.8,50.0,40.0,0,0,0,0,0,1
Canada,2007,78.0,90.0,84.0,,75.9,52.2,,96.8,82.5,80.7,88.2,60.0,70.0,0,0,0,1,0,0
Chile,2007,77.7,90.0,73.0,,78.8,87.9,,68.2,77.0,79.8,82.4,70.0,70.0,0,0,0,0,0,1
Colombia,2007,59.9,30.0,40.0,,71.7,70.2,,71.8,63.5,70.3,71.4,50.0,60.0,0,0,0,0,0,1
Costa Rica,2007,64.0,50.0,42.0,,83.0,86.4,,59.0,60.1,67.1,82.4,70.0,40.0,0,0,0,1,0,0
Cuba,2007,28.6,10.0,38.0,,51.7,10.0,,10.0,20.0,65.8,60.2,10.0,10.0,0,0,0,1,0,0
Dominican Republic,2007,56.8,30.0,30.0,,79.7,90.2,,56.7,54.2,63.2,73.8,50.0,40.0,0,0,0,1,0,0
Ecuador,2007,55.3,30.0,25.0,,86.5,81.7,,58.8,39.8,74.5,67.0,30.0,60.0,0,0,0,0,0,1
El Salvador,2007,68.9,50.0,42.0,,83.5,90.0,,60.2,69.0,77.7,76.6,70.0,70.0,0,0,0,1,0,0
Guatemala,2007,60.5,30.0,25.0,,79.8,96.1,,52.3,59.6,71.6,80.2,50.0,60.0,0,0,0,1,0,0
Guyana,2007,53.7,40.0,25.0,,67.1,34.3,,57.0,62.5,74.1,67.0,50.0,60.0,0,0,0,0,0,1
Haiti,2007,51.4,10.0,18.0,,78.0,95.2,,38.6,62.6,62.2,79.2,30.0,40.0,0,0,0,1,0,0
Honduras,2007,59.1,30.0,26.0,,81.8,82.6,,56.1,44.0,71.5,79.2,50.0,70.0,0,0,0,1,0,0
Jamaica,2007,65.5,50.0,36.0,,75.1,61.8,,82.0,68.5,71.0,70.4,80.0,60.0,0,0,0,1,0,0
Mexico,2007,66.0,50.0,35.0,,82.2,83.4,,83.5,61.7,77.0,77.6,50.0,60.0,0,0,0,1,0,0
Nicaragua,2007,62.7,30.0,26.0,,79.6,78.5,,56.4,73.4,70.9,82.4,70.0,60.0,0,0,0,1,0,0
Panama,2007,64.6,30.0,35.0,,83.0,89.5,,72.7,43.7,85.8,76.2,70.0,60.0,0,0,0,1,0,0
Paraguay,2007,58.3,30.0,21.0,,96.7,91.4,,49.3,28.5,78.4,77.4,50.0,60.0,0,0,0,0,0,1
Peru,2007,62.7,40.0,35.0,,80.2,91.4,,65.2,46.6,85.7,72.6,50.0,60.0,0,0,0,0,0,1
Suriname,2007,54.8,50.0,32.0,,67.8,75.6,,42.0,86.1,69.1,65.0,30.0,30.0,0,0,0,0,0,1
Bahamas,2007,72.0,80.0,70.0,,96.6,88.7,,80.0,80.0,76.1,38.8,40.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,2007,70.6,70.0,38.0,,82.0,80.6,,62.7,78.9,74.7,79.0,70.0,70.0,0,0,0,1,0,0
United States,2007,81.2,90.0,76.0,,69.0,60.3,,91.4,94.7,83.8,86.6,80.0,80.0,0,0,0,1,0,0
Uruguay,2007,68.4,70.0,59.0,,86.2,77.8,,62.2,73.9,73.1,81.6,70.0,30.0,0,0,0,0,0,1
Venezuela,2007,47.9,30.0,23.0,,75.6,79.9,,50.4,40.9,57.6,61.2,20.0,40.0,0,0,0,0,0,1
Argentina,2006,53.4,30.0,25.0,,71.5,81.5,,62.9,44.4,71.5,67.4,50.0,30.0,0,0,0,0,0,1
Barbados,2006,71.9,90.0,73.0,,67.4,58.7,,90.0,80.0,87.7,52.0,50.0,70.0,0,0,0,1,0,0
Belize,2006,64.7,50.0,38.0,,83.9,71.5,,77.4,83.8,84.2,58.4,50.0,50.0,0,0,0,1,0,0
Bolivia,2006,57.8,30.0,22.0,,90.4,68.1,,60.9,49.2,82.6,74.4,30.0,70.0,0,0,0,0,0,1
Brazil,2006,60.9,50.0,39.0,,83.8,71.7,,53.5,66.1,76.3,69.0,50.0,50.0,0,0,0,0,0,1
Canada,2006,77.4,90.0,85.0,,75.3,53.4,,96.9,84.2,85.9,83.2,50.0,70.0,0,0,0,1,0,0
Chile,2006,78.0,90.0,74.0,,78.6,87.5,,68.1,77.5,86.9,77.6,70.0,70.0,0,0,0,0,0,1
Colombia,2006,60.4,30.0,38.0,,66.6,68.3,,72.1,63.8,79.2,65.8,50.0,70.0,0,0,0,0,0,1
Costa Rica,2006,65.9,50.0,49.0,,83.0,85.2,,59.4,61.2,73.7,77.4,70.0,50.0,0,0,0,1,0,0
Cuba,2006,29.3,10.0,37.0,,44.2,0.0,,10.0,20.0,71.5,60.2,30.0,10.0,0,0,0,1,0,0
Dominican Republic,2006,56.3,30.0,29.0,,85.4,90.1,,57.0,54.5,49.3,67.4,50.0,50.0,0,0,0,1,0,0
Ecuador,2006,54.6,30.0,24.0,,86.2,84.5,,58.2,39.7,76.1,67.0,30.0,50.0,0,0,0,0,0,1
El Salvador,2006,69.6,50.0,42.0,,86.2,92.2,,57.9,68.6,82.9,76.4,70.0,70.0,0,0,0,1,0,0
Guatemala,2006,59.1,30.0,22.0,,79.7,94.6,,49.2,62.4,78.1,75.2,50.0,50.0,0,0,0,1,0,0
Guyana,2006,56.6,50.0,30.0,,60.3,41.7,,56.9,62.9,80.7,63.8,50.0,70.0,0,0,0,0,0,1
Haiti,2006,49.2,10.0,15.0,,78.0,93.2,,36.2,62.2,58.6,79.2,30.0,30.0,0,0,0,1,0,0
Honduras,2006,57.4,30.0,23.0,,82.1,78.5,,55.3,44.0,72.1,69.4,50.0,70.0,0,0,0,1,0,0
Jamaica,2006,66.4,50.0,33.0,,77.9,54.4,,82.6,68.2,72.9,65.4,90.0,70.0,0,0,0,1,0,0
Mexico,2006,64.7,50.0,36.0,,78.4,82.1,,79.7,62.0,81.3,57.4,50.0,70.0,0,0,0,1,0,0
Nicaragua,2006,63.8,30.0,27.0,,79.8,78.1,,57.0,76.1,72.3,77.6,70.0,70.0,0,0,0,1,0,0
Panama,2006,65.6,30.0,37.0,,81.3,88.0,,73.7,44.2,90.2,71.2,70.0,70.0,0,0,0,1,0,0
Paraguay,2006,55.6,30.0,19.0,,90.1,90.8,,50.0,28.9,72.9,74.6,50.0,50.0,0,0,0,0,0,1
Peru,2006,60.5,30.0,35.0,,80.3,75.6,,65.6,47.0,84.0,67.2,50.0,70.0,0,0,0,0,0,1
Suriname,2006,55.1,50.0,43.0,,64.5,76.6,,42.0,86.2,67.1,61.6,30.0,30.0,0,0,0,0,0,1
Bahamas,2006,72.3,90.0,70.0,,96.8,87.1,,80.0,80.0,82.2,17.0,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,2006,70.4,70.0,42.0,,76.5,81.1,,62.7,79.2,77.7,75.2,70.0,70.0,0,0,0,1,0,0
United States,2006,81.2,90.0,75.0,,68.9,61.1,,93.2,97.8,85.0,81.4,70.0,90.0,0,0,0,1,0,0
Uruguay,2006,65.3,70.0,62.0,,86.1,45.8,,63.9,76.3,73.0,76.4,70.0,30.0,0,0,0,0,0,1
Venezuela,2006,44.6,30.0,23.0,,75.6,76.8,,48.9,35.0,53.9,63.0,10.0,30.0,0,0,0,0,0,1
Argentina,2005,51.7,30.0,25.0,,72.7,73.7,,70.0,43.9,65.4,56.2,50.0,30.0,0,0,0,0,0,1
Barbados,2005,70.1,90.0,70.0,,60.6,56.0,,85.0,80.0,87.7,52.0,50.0,70.0,0,0,0,1,0,0
Belize,2005,64.5,50.0,45.0,,83.9,68.9,,70.0,83.3,85.2,58.4,50.0,50.0,0,0,0,1,0,0
Bolivia,2005,58.4,30.0,23.0,,88.9,66.7,,55.0,47.7,84.9,67.4,50.0,70.0,0,0,0,0,0,1
Brazil,2005,61.7,50.0,39.0,,86.2,69.9,,70.0,64.6,72.7,65.2,50.0,50.0,0,0,0,0,0,1
Canada,2005,75.8,90.0,87.0,,75.1,50.8,,85.0,82.2,84.7,82.8,50.0,70.0,0,0,0,1,0,0
Chile,2005,77.8,90.0,74.0,,78.3,84.8,,70.0,77.3,84.4,79.2,70.0,70.0,0,0,0,0,0,1
Colombia,2005,59.6,30.0,37.0,,66.7,66.3,,70.0,62.8,78.3,64.8,50.0,70.0,0,0,0,0,0,1
Costa Rica,2005,66.1,50.0,43.0,,83.0,84.7,,70.0,61.1,75.5,73.4,70.0,50.0,0,0,0,1,0,0
Cuba,2005,35.5,10.0,46.0,,46.7,5.9,,55.0,20.0,70.6,61.2,30.0,10.0,0,0,0,1,0,0
Dominican Republic,2005,55.1,30.0,33.0,,84.9,89.7,,55.0,56.9,56.5,64.8,50.0,30.0,0,0,0,1,0,0
Ecuador,2005,52.9,30.0,22.0,,85.0,84.5,,55.0,39.8,68.3,64.0,30.0,50.0,0,0,0,0,0,1
El Salvador,2005,71.5,50.0,37.0,,83.5,92.7,,85.0,68.1,85.6,72.8,70.0,70.0,0,0,0,1,0,0
Guatemala,2005,59.5,30.0,24.0,,77.0,95.4,,55.0,60.6,79.1,73.4,30.0,70.0,0,0,0,1,0,0
Guyana,2005,56.5,50.0,30.0,,60.3,43.0,,55.0,62.5,80.1,63.8,50.0,70.0,0,0,0,0,0,1
Haiti,2005,48.4,10.0,15.0,,78.1,96.3,,40.0,61.9,55.4,67.0,30.0,30.0,0,0,0,1,0,0
Honduras,2005,55.3,30.0,23.0,,82.2,75.3,,55.0,44.7,72.2,70.4,30.0,70.0,0,0,0,1,0,0
Jamaica,2005,67.0,50.0,38.0,,76.4,62.4,,70.0,68.4,75.8,69.4,90.0,70.0,0,0,0,1,0,0
Mexico,2005,65.2,50.0,36.0,,74.9,83.7,,70.0,61.4,81.1,75.2,50.0,70.0,0,0,0,1,0,0
Nicaragua,2005,62.5,30.0,26.0,,82.9,82.4,,55.0,72.9,75.8,80.4,50.0,70.0,0,0,0,1,0,0
Panama,2005,64.3,30.0,34.0,,81.3,79.4,,70.0,45.2,89.8,73.6,70.0,70.0,0,0,0,1,0,0
Paraguay,2005,53.4,30.0,16.0,,90.2,86.9,,55.0,28.1,67.5,60.0,50.0,50.0,0,0,0,0,0,1
Peru,2005,61.3,30.0,37.0,,82.3,76.0,,55.0,45.9,86.6,59.8,70.0,70.0,0,0,0,0,0,1
Suriname,2005,51.9,50.0,10.0,,66.6,70.0,,55.0,85.8,59.9,61.6,30.0,30.0,0,0,0,0,0,1
Bahamas,2005,72.6,90.0,70.0,,96.7,88.0,,85.0,80.0,79.5,17.0,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,2005,71.5,70.0,46.0,,73.7,80.2,,70.0,79.0,77.3,79.2,70.0,70.0,0,0,0,1,0,0
United States,2005,79.9,90.0,75.0,,68.6,60.0,,85.0,95.4,85.7,79.8,70.0,90.0,0,0,0,1,0,0
Uruguay,2005,66.9,70.0,55.0,,86.1,51.3,,70.0,75.9,69.1,72.0,70.0,50.0,0,0,0,0,0,1
Venezuela,2005,45.2,30.0,24.0,,75.8,80.2,,55.0,32.3,51.9,62.4,10.0,30.0,0,0,0,0,0,1
Argentina,2004,53.9,30.0,28.0,,72.4,78.8,,70.0,,64.0,61.6,50.0,30.0,0,0,0,0,0,1
Barbados,2004,69.4,90.0,70.0,,59.8,58.9,,85.0,,88.9,52.0,50.0,70.0,0,0,0,1,0,0
Belize,2004,62.8,50.0,50.0,,84.1,64.7,,70.0,,86.5,60.0,50.0,50.0,0,0,0,1,0,0
Bolivia,2004,64.5,30.0,22.0,,88.9,69.9,,55.0,,87.5,67.0,90.0,70.0,0,0,0,0,0,1
Brazil,2004,62.0,50.0,40.0,,90.2,68.1,,70.0,,77.2,62.8,50.0,50.0,0,0,0,0,0,1
Canada,2004,75.3,90.0,90.0,,73.6,50.5,,85.0,,85.4,83.2,50.0,70.0,0,0,0,1,0,0
Chile,2004,76.9,90.0,75.0,,78.5,81.5,,70.0,,84.2,73.0,70.0,70.0,0,0,0,0,0,1
Colombia,2004,61.2,30.0,36.0,,66.7,66.9,,70.0,,78.3,63.0,70.0,70.0,0,0,0,0,0,1
Costa Rica,2004,66.4,50.0,45.0,,83.0,78.1,,70.0,,75.1,76.4,70.0,50.0,0,0,0,1,0,0
Cuba,2004,34.4,10.0,10.0,,49.9,14.8,,55.0,,66.4,63.6,30.0,10.0,0,0,0,1,0,0
Dominican Republic,2004,54.6,30.0,35.0,,85.0,92.8,,55.0,,69.1,44.4,50.0,30.0,0,0,0,1,0,0
Ecuador,2004,54.4,30.0,22.0,,85.4,76.8,,55.0,,57.6,62.4,50.0,50.0,0,0,0,0,0,1
El Salvador,2004,71.2,50.0,34.0,,83.6,90.8,,85.0,,85.2,72.2,70.0,70.0,0,0,0,1,0,0
Guatemala,2004,59.6,30.0,25.0,,79.8,95.0,,55.0,,77.4,73.8,30.0,70.0,0,0,0,1,0,0
Guyana,2004,53.0,50.0,30.0,,60.9,14.5,,55.0,,81.1,65.2,50.0,70.0,0,0,0,0,0,1
Haiti,2004,51.2,10.0,22.0,,78.2,96.9,,40.0,,68.7,65.0,30.0,50.0,0,0,0,1,0,0
Honduras,2004,55.3,30.0,27.0,,84.9,79.7,,55.0,,71.5,70.0,30.0,50.0,0,0,0,1,0,0
Jamaica,2004,66.7,50.0,40.0,,76.7,61.3,,70.0,,78.0,64.4,90.0,70.0,0,0,0,1,0,0
Mexico,2004,66.0,50.0,36.0,,73.3,83.1,,70.0,,79.8,81.6,50.0,70.0,0,0,0,1,0,0
Nicaragua,2004,61.4,30.0,25.0,,85.6,82.6,,55.0,,75.1,79.0,50.0,70.0,0,0,0,1,0,0
Panama,2004,65.3,30.0,30.0,,81.2,76.5,,70.0,,89.1,70.8,70.0,70.0,0,0,0,1,0,0
Paraguay,2004,56.7,30.0,17.0,,90.0,87.8,,55.0,,70.4,59.8,50.0,50.0,0,0,0,0,0,1
Peru,2004,64.7,30.0,40.0,,81.5,87.5,,55.0,,88.8,59.8,70.0,70.0,0,0,0,0,0,1
Suriname,2004,47.9,50.0,10.0,,61.4,62.2,,55.0,,58.1,54.4,50.0,30.0,0,0,0,0,0,1
Bahamas,2004,72.1,90.0,70.0,,97.1,87.1,,85.0,,82.5,17.0,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,2004,71.3,70.0,49.0,,71.7,83.1,,70.0,,81.7,75.8,70.0,70.0,0,0,0,1,0,0
United States,2004,78.7,90.0,77.0,,67.2,62.2,,85.0,,85.9,81.4,70.0,90.0,0,0,0,1,0,0
Uruguay,2004,66.7,70.0,51.0,,83.5,60.0,,70.0,,74.2,71.8,70.0,50.0,0,0,0,0,0,1
Venezuela,2004,46.7,30.0,25.0,,75.6,79.2,,55.0,,57.1,58.0,10.0,30.0,0,0,0,0,0,1
Argentina,2003,56.3,30.0,35.0,,72.2,76.8,,70.0,,88.5,54.0,50.0,30.0,0,0,0,0,0,1
Barbados,2003,71.3,90.0,70.0,,60.4,64.7,,85.0,,85.1,66.8,50.0,70.0,0,0,0,1,0,0
Belize,2003,63.5,50.0,50.0,,84.3,60.9,,70.0,,89.2,66.8,50.0,50.0,0,0,0,1,0,0
Bolivia,2003,64.3,30.0,20.0,,88.6,73.0,,55.0,,85.2,66.8,90.0,70.0,0,0,0,0,0,1
Brazil,2003,63.4,50.0,40.0,,90.2,82.7,,70.0,,78.6,59.0,50.0,50.0,0,0,0,0,0,1
Canada,2003,74.8,90.0,89.0,,72.7,47.8,,85.0,,85.0,83.4,50.0,70.0,0,0,0,1,0,0
Chile,2003,76.0,90.0,75.0,,75.0,81.8,,70.0,,83.0,69.0,70.0,70.0,0,0,0,0,0,1
Colombia,2003,64.2,30.0,38.0,,72.5,87.6,,70.0,,76.5,63.0,70.0,70.0,0,0,0,0,0,1
Costa Rica,2003,67.0,50.0,45.0,,83.2,83.6,,70.0,,74.0,77.6,70.0,50.0,0,0,0,1,0,0
Cuba,2003,35.1,10.0,10.0,,50.9,18.3,,55.0,,68.3,63.8,30.0,10.0,0,0,0,1,0,0
Dominican Republic,2003,57.8,30.0,31.0,,85.3,93.5,,55.0,,71.7,53.4,50.0,50.0,0,0,0,1,0,0
Ecuador,2003,54.1,30.0,23.0,,86.3,85.7,,55.0,,43.8,62.8,50.0,50.0,0,0,0,0,0,1
El Salvador,2003,71.5,50.0,36.0,,83.7,93.1,,85.0,,83.8,72.0,70.0,70.0,0,0,0,1,0,0
Guatemala,2003,62.3,30.0,29.0,,79.8,95.5,,55.0,,78.3,73.4,50.0,70.0,0,0,0,1,0,0
Guyana,2003,50.3,50.0,30.0,,60.3,7.9,,55.0,,82.4,66.8,50.0,50.0,0,0,0,0,0,1
Haiti,2003,50.6,10.0,10.0,,78.4,96.7,,40.0,,66.7,73.2,30.0,50.0,0,0,0,1,0,0
Honduras,2003,60.4,50.0,27.0,,84.8,83.6,,55.0,,74.8,68.4,50.0,50.0,0,0,0,1,0,0
Jamaica,2003,67.0,50.0,38.0,,75.6,65.3,,70.0,,78.0,65.8,90.0,70.0,0,0,0,1,0,0
Mexico,2003,65.3,50.0,37.0,,68.3,84.7,,70.0,,77.0,81.0,50.0,70.0,0,0,0,1,0,0
Nicaragua,2003,62.6,30.0,24.0,,81.8,82.3,,55.0,,71.3,79.2,70.0,70.0,0,0,0,1,0,0
Panama,2003,68.4,30.0,37.0,,81.1,78.3,,70.0,,89.9,69.4,70.0,90.0,0,0,0,1,0,0
Paraguay,2003,58.2,30.0,20.0,,89.8,92.8,,55.0,,72.5,64.0,50.0,50.0,0,0,0,0,0,1
Peru,2003,64.6,30.0,41.0,,81.6,88.8,,55.0,,84.8,59.8,70.0,70.0,0,0,0,0,0,1
Suriname,2003,46.9,50.0,10.0,,67.3,48.1,,55.0,,45.4,66.8,50.0,30.0,0,0,0,0,0,1
Bahamas,2003,73.5,90.0,70.0,,96.9,88.8,,100.0,,80.4,15.0,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,2003,68.8,70.0,53.0,,72.4,81.8,,70.0,,81.1,51.0,70.0,70.0,0,0,0,1,0,0
United States,2003,78.2,90.0,76.0,,63.5,63.5,,85.0,,84.2,81.4,70.0,90.0,0,0,0,1,0,0
Uruguay,2003,69.8,70.0,51.0,,87.0,70.2,,70.0,,81.4,59.0,70.0,70.0,0,0,0,0,0,1
Venezuela,2003,54.8,30.0,28.0,,75.0,86.3,,55.0,,61.0,58.2,50.0,50.0,0,0,0,0,0,1
Argentina,2002,65.7,50.0,35.0,,72.4,76.5,,70.0,,94.3,53.0,70.0,70.0,0,0,0,0,0,1
Barbados,2002,73.6,90.0,70.0,,59.0,65.3,,85.0,,86.3,66.8,70.0,70.0,0,0,0,1,0,0
Belize,2002,65.6,50.0,50.0,,84.5,74.8,,70.0,,94.0,66.8,50.0,50.0,0,0,0,1,0,0
Bolivia,2002,65.1,30.0,27.0,,88.7,69.3,,55.0,,81.9,74.2,90.0,70.0,0,0,0,0,0,1
Brazil,2002,61.5,50.0,39.0,,86.3,71.2,,70.0,,79.3,58.0,50.0,50.0,0,0,0,0,0,1
Canada,2002,74.6,90.0,92.0,,71.1,49.6,,85.0,,85.4,78.6,50.0,70.0,0,0,0,1,0,0
Chile,2002,77.8,90.0,74.0,,74.0,82.7,,85.0,,82.7,71.4,70.0,70.0,0,0,0,0,0,1
Colombia,2002,64.2,30.0,32.0,,72.6,89.2,,70.0,,74.5,69.8,70.0,70.0,0,0,0,0,0,1
Costa Rica,2002,67.5,50.0,54.0,,83.3,85.5,,70.0,,74.2,71.0,70.0,50.0,0,0,0,1,0,0
Cuba,2002,32.4,10.0,10.0,,46.5,12.5,,40.0,,72.0,60.6,30.0,10.0,0,0,0,1,0,0
Dominican Republic,2002,58.6,30.0,30.0,,85.3,93.3,,55.0,,73.1,60.8,50.0,50.0,0,0,0,1,0,0
Ecuador,2002,53.1,30.0,26.0,,86.7,84.1,,55.0,,33.4,62.4,70.0,30.0,0,0,0,0,0,1
El Salvador,2002,73.0,50.0,41.0,,83.7,93.3,,85.0,,86.3,77.4,70.0,70.0,0,0,0,1,0,0
Guatemala,2002,62.3,30.0,32.0,,79.8,95.7,,55.0,,74.7,73.6,50.0,70.0,0,0,0,1,0,0
Guyana,2002,54.3,50.0,30.0,,60.9,47.1,,55.0,,79.1,66.8,50.0,50.0,0,0,0,0,0,1
Haiti,2002,47.9,10.0,10.0,,78.3,95.7,,40.0,,67.9,68.8,30.0,30.0,0,0,0,1,0,0
Honduras,2002,58.7,50.0,18.0,,84.4,82.7,,55.0,,68.6,69.8,50.0,50.0,0,0,0,1,0,0
Jamaica,2002,61.7,50.0,38.0,,76.1,56.7,,70.0,,77.4,66.8,90.0,30.0,0,0,0,1,0,0
Mexico,2002,63.0,50.0,33.0,,68.8,85.5,,55.0,,73.2,81.2,50.0,70.0,0,0,0,1,0,0
Nicaragua,2002,61.1,30.0,31.0,,81.3,81.3,,55.0,,68.5,63.2,70.0,70.0,0,0,0,1,0,0
Panama,2002,68.5,30.0,50.0,,80.9,76.5,,70.0,,87.8,61.0,70.0,90.0,0,0,0,1,0,0
Paraguay,2002,59.6,30.0,20.0,,89.8,92.3,,55.0,,71.3,58.0,70.0,50.0,0,0,0,0,0,1
Peru,2002,64.8,30.0,44.0,,80.5,91.3,,55.0,,82.3,60.4,70.0,70.0,0,0,0,0,0,1
Suriname,2002,48.0,50.0,10.0,,65.7,65.3,,55.0,,39.0,66.8,50.0,30.0,0,0,0,0,0,1
Bahamas,2002,74.4,90.0,70.0,,97.0,89.2,,100.0,,88.1,15.0,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,2002,70.1,70.0,53.0,,71.6,76.5,,70.0,,82.8,66.8,70.0,70.0,0,0,0,1,0,0
United States,2002,78.4,90.0,78.0,,63.4,65.3,,85.0,,84.1,79.4,70.0,90.0,0,0,0,1,0,0
Uruguay,2002,68.7,70.0,44.0,,86.9,69.3,,70.0,,80.1,58.0,70.0,70.0,0,0,0,0,0,1
Venezuela,2002,54.7,30.0,27.0,,75.0,89.2,,55.0,,56.9,58.8,50.0,50.0,0,0,0,0,0,1
Argentina,2001,68.6,50.0,30.0,,72.5,79.7,,85.0,,95.4,65.0,70.0,70.0,0,0,0,0,0,1
Barbados,2001,71.5,90.0,70.0,,58.8,65.3,,85.0,,87.4,46.8,70.0,70.0,0,0,0,1,0,0
Belize,2001,65.9,70.0,50.0,,83.6,74.8,,70.0,,88.9,56.0,50.0,50.0,0,0,0,1,0,0
Bolivia,2001,68.0,50.0,25.0,,88.2,74.8,,55.0,,87.7,71.6,90.0,70.0,0,0,0,0,0,1
Brazil,2001,61.9,50.0,41.0,,87.0,71.2,,70.0,,81.3,57.0,50.0,50.0,0,0,0,0,0,1
Canada,2001,71.2,90.0,92.0,,41.5,47.1,,85.0,,87.2,77.8,50.0,70.0,0,0,0,1,0,0
Chile,2001,75.1,90.0,69.0,,73.7,84.1,,85.0,,82.4,71.6,70.0,50.0,0,0,0,0,0,1
Colombia,2001,65.6,50.0,29.0,,72.4,88.0,,70.0,,71.7,69.2,70.0,70.0,0,0,0,0,0,1
Costa Rica,2001,67.6,50.0,51.0,,83.2,88.0,,70.0,,74.3,71.8,70.0,50.0,0,0,0,1,0,0
Cuba,2001,31.6,10.0,10.0,,46.5,0.0,,40.0,,77.0,60.6,30.0,10.0,0,0,0,1,0,0
Dominican Republic,2001,59.1,30.0,30.0,,85.3,93.3,,55.0,,79.2,59.4,50.0,50.0,0,0,0,1,0,0
Ecuador,2001,55.1,30.0,24.0,,90.8,85.5,,55.0,,51.9,59.0,70.0,30.0,0,0,0,0,0,1
El Salvador,2001,73.0,50.0,39.0,,83.7,94.1,,85.0,,87.6,77.2,70.0,70.0,0,0,0,1,0,0
Guatemala,2001,65.1,50.0,32.0,,86.7,94.9,,55.0,,74.8,72.6,50.0,70.0,0,0,0,1,0,0
Guyana,2001,53.3,50.0,30.0,,60.3,54.4,,55.0,,79.0,51.0,50.0,50.0,0,0,0,0,0,1
Haiti,2001,47.1,10.0,10.0,,78.3,95.7,,40.0,,64.7,65.0,30.0,30.0,0,0,0,1,0,0
Honduras,2001,57.0,30.0,18.0,,81.9,86.8,,55.0,,67.2,73.8,50.0,50.0,0,0,0,1,0,0
Jamaica,2001,63.7,50.0,38.0,,76.7,84.1,,70.0,,78.3,76.4,70.0,30.0,0,0,0,1,0,0
